"id","stage","spider","m"
"3586","Acquisition","Spider B",0.127418423808173
"3586","Reversal","Spider A",0.289871210025372
"3586","Reversal","Spider B",0.226360242377028
"3653","Acquisition","Spider A",0.544543696221044
"3653","Acquisition","Spider B",0.429719106731827
"3653","Reversal","Spider A",0.262900489543436
"3653","Reversal","Spider B",0.485260163685338
"3695","Acquisition","Spider A",0.116276078780464
"3695","Acquisition","Spider B",0.20972426483512
"3695","Reversal","Spider A",0.224865497631732
"3695","Reversal","Spider B",0.00269058603668007
"3763","Acquisition","Spider A",0.417929628468614
"3763","Acquisition","Spider B",0.564214161795034
"3763","Reversal","Spider A",0.697517850184631
"3763","Reversal","Spider B",0.544195027354759
"3869","Acquisition","Spider A",0.36726417432538
"3869","Acquisition","Spider B",0.469091707203236
"3869","Reversal","Spider A",0.346498138143576
"3869","Reversal","Spider B",0.332970012161901
"3937","Acquisition","Spider A",0.247267727015458
"3937","Acquisition","Spider B",0.348478811882047
"3937","Reversal","Spider A",0.535026316485014
"3937","Reversal","Spider B",0.248776070969144
"3942","Acquisition","Spider A",0.656704148399288
"3942","Acquisition","Spider B",0.641883053355426
"3942","Reversal","Spider A",0.534890414936769
"3942","Reversal","Spider B",0.351862310444189
"3982","Acquisition","Spider A",0.311618447891426
"3982","Acquisition","Spider B",0.167255427591922
"3982","Reversal","Spider A",0.512942727285635
"3982","Reversal","Spider B",0.500926452281471
"4211","Acquisition","Spider A",0.579526200009909
"4211","Acquisition","Spider B",0.613083439410116
"4211","Reversal","Spider A",0.577307498928055
"4211","Reversal","Spider B",0.869130236758336
"4396","Acquisition","Spider A",0.427101561256632
"4396","Acquisition","Spider B",0.277322722648297
"4396","Reversal","Spider A",0.521413087146994
"4396","Reversal","Spider B",0.467351938744009
"4398","Acquisition","Spider A",0.0199226900266855
"4398","Acquisition","Spider B",0.345916289548375
"4398","Reversal","Spider A",0.252561369230512
"4398","Reversal","Spider B",0.000528096379149389
"4554","Acquisition","Spider A",0.367466272613669
"4554","Acquisition","Spider B",0.303517136533043
"4554","Reversal","Spider A",0.219041489247822
"4554","Reversal","Spider B",0.538065580065844
"4690","Acquisition","Spider A",0.0617958168891782
"4690","Acquisition","Spider B",0.160015596615691
"4690","Reversal","Spider A",0.100038018638282
"4690","Reversal","Spider B",0.19346833526379
"4996","Acquisition","Spider A",0.633034869696483
"4996","Acquisition","Spider B",0.521408502973186
"4996","Reversal","Spider A",0.566274321450035
"4996","Reversal","Spider B",0.472907987340247
"5049","Acquisition","Spider A",0.108874289750694
"5049","Acquisition","Spider B",0.524353823807939
"5049","Reversal","Spider A",0.56594339970993
"5049","Reversal","Spider B",0.491798751960498
"5115","Acquisition","Spider A",0.674235103059953
"5115","Acquisition","Spider B",0.417294237583634
"5115","Reversal","Spider A",0.799904346404944
"5115","Reversal","Spider B",1.26736591250618
"5152","Acquisition","Spider A",0.114993589301896
"5152","Acquisition","Spider B",0.16155435755846
"5152","Reversal","Spider A",0.338487346996505
"5152","Reversal","Spider B",0.40238442387024
"5445","Acquisition","Spider A",0.0439785417135388
"5445","Acquisition","Spider B",0.0460460904554423
"5445","Reversal","Spider A",0.00130385021926995
"5445","Reversal","Spider B",0.00202259603875854
"5508","Acquisition","Spider A",0.436097948402495
"5508","Acquisition","Spider B",0.694195743908494
"5508","Reversal","Spider A",0.552189669557777
"5508","Reversal","Spider B",0.310545694811808
"5519","Acquisition","Spider A",0.0758834819249438
"5519","Acquisition","Spider B",0.229466640786621
"5519","Reversal","Spider A",0.30946920553511
"5519","Reversal","Spider B",0.405715314905163
"5547","Acquisition","Spider A",0.215033714691098
"5547","Acquisition","Spider B",0.279558079130625
"5547","Reversal","Spider A",0.201177309938657
"5547","Reversal","Spider B",0.124122201045321
"5586","Acquisition","Spider A",0.888941273971748
"5586","Acquisition","Spider B",0.773768516019468
"5586","Reversal","Spider A",0.761493072856378
"5586","Reversal","Spider B",0.827481291277173
"5765","Acquisition","Spider A",0.258552456425883
"5765","Acquisition","Spider B",0.387001828279324
"5765","Reversal","Spider A",0.310817400598803
"5765","Reversal","Spider B",0.147538498155587
"6054","Acquisition","Spider A",0.531775640430302
"6054","Acquisition","Spider B",0.3453624617495
"6054","Reversal","Spider A",0.35390475285912
"6054","Reversal","Spider B",0.679105456476687
"6104","Acquisition","Spider A",0.689499503228082
"6104","Acquisition","Spider B",0.701973651985906
"6104","Reversal","Spider A",0.879552274865768
"6104","Reversal","Spider B",0.865057987536818
"6458","Acquisition","Spider A",0.310484423209427
"6458","Acquisition","Spider B",0.245838026478878
"6458","Reversal","Spider A",0.328768894463477
"6458","Reversal","Spider B",0.101609595910434
"6534","Acquisition","Spider A",0.591916210418891
"6534","Acquisition","Spider B",0.782733230137147
"6534","Reversal","Spider A",0.762290489943851
"6534","Reversal","Spider B",0.470399366133556
"6793","Acquisition","Spider A",0.544711377196149
"6793","Acquisition","Spider B",0.617109672677856
"6793","Reversal","Spider A",0.575800492333685
"6793","Reversal","Spider B",0.408629592141654
"6946","Acquisition","Spider A",0.454139601334819
"6946","Acquisition","Spider B",0.618086878747232
"6946","Reversal","Spider A",0.273453122797771
"6946","Reversal","Spider B",0.415619134143529
"7003","Acquisition","Spider A",0.000617045421362169
"7003","Acquisition","Spider B",0.261794478881172
"7003","Reversal","Spider A",0.154659242866885
"7003","Reversal","Spider B",0.0239518470080212
"7063","Acquisition","Spider A",0.180792419897324
"7063","Acquisition","Spider B",0.522112763226247
