"","as.factor(ntile_e)","snte","q","r1","p1","label1","r2","p2","label2"
"1","1",27,"UA",0.963904207768411,4.76780484502799e-50,"r=0.96***",-0.0432892261708328,0.692282840802895,"r=-0.04"
"2","2",20,"T1",0.963904207768411,4.76780484502799e-50,"r=0.96***",-0.0432892261708328,0.692282840802895,"r=-0.04"
"3","3",20,"T2",0.963904207768411,4.76780484502799e-50,"r=0.96***",-0.0432892261708328,0.692282840802895,"r=-0.04"
"4","4",19,"T3",0.963904207768411,4.76780484502799e-50,"r=0.96***",-0.0432892261708328,0.692282840802895,"r=-0.04"
